Nome,Endereco,CEP,Medicamento,Quantidade em Estoque,Data de Validade
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,PARACETAMOL,0,2024-08-01 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,IBUPROFENO,92,2024-04-07 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,OMEPRAZOL,56,2024-04-13 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,AMOXICILINA,0,2024-06-05 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,LORATADINA,11,2024-09-26 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,SIMVASTATINA,49,2024-08-26 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,METFORMINA,107,2024-05-29 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,RITALINA,38,2024-06-18 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,DIAZEPAM,38,2024-05-25 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,CETIRIZINA,78,2024-05-19 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,CLOPIDOGREL,15,2024-06-04 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,ENALAPRIL,64,2023-12-27 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,SERTRALINA,71,2024-01-30 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,MONTELUCASTE,0,2024-04-25 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,METOPROLOL,82,2024-10-29 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,PIROXICAM,65,2024-05-17 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,FLUOXETINA,51,2024-07-15 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,ATORVASTATINA,22,2024-04-21 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,PREDNISONA,54,2024-03-08 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,CIPROFLOXACINO,27,2024-04-08 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,HIDROCLOROTIAZIDA,22,2024-03-03 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,DIPIRONA,26,2024-04-29 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,LEVOTIROXINA,35,2024-07-19 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,LORAZEPAM,103,2024-09-07 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,NIMESULIDA,20,2024-09-05 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,CARVEDILOL,27,2024-10-11 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,ESCITALOPRAM,14,2024-05-20 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,PROMETAZINA,0,2024-09-03 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,PAROXETINA,41,2024-02-18 13:54:27.276967
UBS Mirante da Mata,"R. Francisco Alves, 78 - Parque Mirante da Mata",06720-070,METOCLOPRAMIDA,70,2024-04-16 13:54:27.276967
