Nome,Endereco,CEP,Medicamento,Quantidade em Estoque,Data de Validade
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,PARACETAMOL,73,2024-11-02 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,IBUPROFENO,80,2024-09-25 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,OMEPRAZOL,30,2024-05-23 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,AMOXICILINA,2,2024-07-09 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,LORATADINA,1,2024-07-28 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,SIMVASTATINA,38,2024-06-17 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,METFORMINA,10,2024-01-02 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,RITALINA,112,2024-10-19 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,DIAZEPAM,58,2024-08-05 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,CETIRIZINA,30,2024-05-14 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,CLOPIDOGREL,51,2024-05-06 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,ENALAPRIL,59,2024-10-05 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,SERTRALINA,50,2024-09-01 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,MONTELUCASTE,1,2024-11-15 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,METOPROLOL,69,2024-10-07 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,PIROXICAM,0,2024-03-30 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,FLUOXETINA,72,2024-05-09 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,ATORVASTATINA,51,2024-10-23 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,PREDNISONA,76,2024-05-20 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,CIPROFLOXACINO,80,2024-02-07 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,HIDROCLOROTIAZIDA,50,2024-11-14 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,DIPIRONA,44,2024-01-01 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,LEVOTIROXINA,71,2024-10-28 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,LORAZEPAM,9,2024-02-10 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,NIMESULIDA,97,2024-01-01 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,CARVEDILOL,0,2024-01-01 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,ESCITALOPRAM,63,2024-05-29 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,PROMETAZINA,52,2024-08-13 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,PAROXETINA,17,2024-07-01 13:50:14.751014
UBS Mirizola,"R. Vicente Strifezi, 97 - Parque Miguel Mirizola",06704-220,METOCLOPRAMIDA,0,2024-11-04 13:50:14.751014
