Nome,Endereco,CEP,Medicamento,Quantidade em Estoque,Data de Validade
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,PARACETAMOL,12,2024-08-27 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,IBUPROFENO,20,2024-09-08 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,OMEPRAZOL,54,2024-09-22 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,AMOXICILINA,74,2024-07-20 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,LORATADINA,45,2024-10-24 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,SIMVASTATINA,1,2024-02-22 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,METFORMINA,0,2024-07-22 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,RITALINA,0,2024-08-25 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,DIAZEPAM,22,2024-08-23 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,CETIRIZINA,48,2024-02-07 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,CLOPIDOGREL,27,2024-11-15 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,ENALAPRIL,81,2024-09-06 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,SERTRALINA,33,2024-03-23 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,MONTELUCASTE,62,2024-08-22 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,METOPROLOL,80,2024-04-20 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,PIROXICAM,41,2024-03-26 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,FLUOXETINA,76,2024-04-04 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,ATORVASTATINA,49,2024-08-20 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,PREDNISONA,50,2024-09-14 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,CIPROFLOXACINO,60,2024-10-20 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,HIDROCLOROTIAZIDA,43,2024-06-17 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,DIPIRONA,44,2024-01-16 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,LEVOTIROXINA,33,2024-02-24 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,LORAZEPAM,80,2024-05-12 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,NIMESULIDA,32,2024-08-08 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,CARVEDILOL,99,2024-03-31 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,ESCITALOPRAM,0,2024-10-29 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,PROMETAZINA,106,2024-02-10 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,PAROXETINA,12,2024-05-26 13:48:41.775061
UBS Rio Cotia,"R. Pedro Rodrigues, 12 - Jardim do Rio Cotia",06715-770,METOCLOPRAMIDA,6,2024-10-02 13:48:41.775061
